Opisthokonta	Fungi	22
Opisthokonta	Fungi	12
Opisthokonta	Fungi	8
Opisthokonta	Fungi	18
Opisthokonta	Fungi	8
Opisthokonta	Fungi	16
Opisthokonta	Fungi	7
Opisthokonta	Metazoa	3
Opisthokonta	Metazoa	30
Opisthokonta	Metazoa	1
Opisthokonta	Metazoa	9
Opisthokonta	Metazoa	3
Opisthokonta	Metazoa	38
Opisthokonta	Metazoa	1
Opisthokonta	Metazoa	45
Opisthokonta	Metazoa	27
Opisthokonta	Metazoa	13
Opisthokonta	Metazoa	7
Opisthokonta	Metazoa	43
Opisthokonta	Metazoa	9
Opisthokonta	Metazoa	2
Opisthokonta	Metazoa	1
Opisthokonta	Metazoa	4
Opisthokonta	Metazoa	27
Opisthokonta	Metazoa	2
Sar	Alveolata	1
Sar	Alveolata	1
Sar	Stramenopiles	1
Sar	Stramenopiles	19
Opisthokonta	Filasterea	24
Glaucocystophyceae	Cyanophoraceae	20
Opisthokonta	Fungi	7
Amoebozoa	Evosea	30
Rhodophyta	Florideophyceae	2
Rhodophyta	Florideophyceae	2
Discoba	Euglenozoa	1
Sar	Alveolata	2
Sar	Stramenopiles	2
Sar	Alveolata	1
Sar	Stramenopiles	1
Sar	Stramenopiles	3
Metamonada	Parabasalia	2
Viridiplantae	Streptophyta	7
Viridiplantae	Streptophyta	1
Viridiplantae	Streptophyta	1
Viridiplantae	Streptophyta	8
Viridiplantae	Streptophyta	1
Viridiplantae	Streptophyta	1
Viridiplantae	Chlorophyta	1
Viridiplantae	Streptophyta	12
Viridiplantae	Streptophyta	1
Opisthokonta	Metazoa	35
Amoebozoa	Discosea	1
Sar	Alveolata	1
Sar	Alveolata	1
Viridiplantae	Streptophyta	4
Viridiplantae	Streptophyta	2
Viruses	Varidnaviria	2
Opisthokonta	Metazoa	4
Opisthokonta	Metazoa	4
Opisthokonta	Metazoa	7
other entries	other sequences	1
Apusozoa	Apusomonadida	34
Metamonada	Preaxostyla	1
Opisthokonta	Metazoa	19
Opisthokonta	Metazoa	30
Rhodophyta	Florideophyceae	15
Viridiplantae	Streptophyta	28
Viridiplantae	Streptophyta	23
Opisthokonta	Metazoa	27
Opisthokonta	Metazoa	31
Opisthokonta	Metazoa	40
Opisthokonta	Metazoa	25
Opisthokonta	Metazoa	32
Opisthokonta	Metazoa	30
Viridiplantae	Streptophyta	36
Opisthokonta	Metazoa	21
Opisthokonta	Metazoa	22
Sar	Rhizaria	25
Opisthokonta	Metazoa	25
Opisthokonta	Metazoa	30
Opisthokonta	Metazoa	27
Opisthokonta	Metazoa	45
Opisthokonta	Metazoa	39
Opisthokonta	Metazoa	25
Opisthokonta	Metazoa	20
Opisthokonta	Metazoa	23
Opisthokonta	Metazoa	25
Opisthokonta	Metazoa	24
Opisthokonta	Metazoa	27
Opisthokonta	Metazoa	26
Opisthokonta	Metazoa	25
Opisthokonta	Metazoa	22
Opisthokonta	Metazoa	25
Opisthokonta	Metazoa	23
Opisthokonta	Metazoa	25
Sar	Alveolata	16
Sar	Alveolata	5
Sar	Alveolata	4
Sar	Alveolata	19
Opisthokonta	Metazoa	25
Opisthokonta	Metazoa	23
Opisthokonta	Metazoa	4
Opisthokonta	Metazoa	27
Opisthokonta	Metazoa	22
Opisthokonta	Metazoa	26
Opisthokonta	Metazoa	20
Opisthokonta	Metazoa	18
Opisthokonta	Metazoa	30
Opisthokonta	Metazoa	22
Opisthokonta	Metazoa	19
Opisthokonta	Metazoa	24
Opisthokonta	Metazoa	22
Opisthokonta	Metazoa	26
Opisthokonta	Metazoa	18
Opisthokonta	Metazoa	37
Opisthokonta	Metazoa	17
Opisthokonta	Metazoa	18
Opisthokonta	Metazoa	28
Opisthokonta	Metazoa	16
Opisthokonta	Metazoa	16
Opisthokonta	Metazoa	26
Opisthokonta	Metazoa	24
Opisthokonta	Metazoa	20
Opisthokonta	Metazoa	28
Opisthokonta	Metazoa	24
Opisthokonta	Metazoa	23
Opisthokonta	Metazoa	26
Opisthokonta	Metazoa	18
Opisthokonta	Metazoa	16
Opisthokonta	Metazoa	8
Opisthokonta	Metazoa	22
Opisthokonta	Metazoa	20
Opisthokonta	Metazoa	19
Opisthokonta	Metazoa	18
Opisthokonta	Metazoa	19
Opisthokonta	Metazoa	20
Opisthokonta	Metazoa	21
Opisthokonta	Metazoa	17
Opisthokonta	Metazoa	26
Opisthokonta	Metazoa	21
Opisthokonta	Metazoa	18
Opisthokonta	Metazoa	27
Opisthokonta	Metazoa	19
Opisthokonta	Metazoa	16
Opisthokonta	Metazoa	9
Opisthokonta	Metazoa	44
Opisthokonta	Metazoa	43
Opisthokonta	Metazoa	9
Opisthokonta	Metazoa	10
Opisthokonta	Metazoa	4
Opisthokonta	Metazoa	4
Opisthokonta	Metazoa	23
Opisthokonta	Metazoa	43
Opisthokonta	Metazoa	34
Opisthokonta	Metazoa	44
Opisthokonta	Metazoa	19
Opisthokonta	Rotosphaerida	19
Sar	Stramenopiles	35
Opisthokonta	Metazoa	24
Sar	Alveolata	10
Opisthokonta	Metazoa	41
Viridiplantae	Streptophyta	31
Sar	Stramenopiles	2
Viridiplantae	Chlorophyta	20
Opisthokonta	Choanoflagellata	19
Opisthokonta	Metazoa	56
Opisthokonta	Metazoa	35
Opisthokonta	Metazoa	34
Opisthokonta	Metazoa	27
Opisthokonta	Metazoa	25
Opisthokonta	Metazoa	25
Opisthokonta	Metazoa	22
Opisthokonta	Fungi	15
Opisthokonta	Metazoa	17
Opisthokonta	Metazoa	30
Opisthokonta	Metazoa	31
Opisthokonta	Metazoa	6
Opisthokonta	Metazoa	15
Opisthokonta	Metazoa	27
Opisthokonta	Metazoa	19
Opisthokonta	Metazoa	39
Opisthokonta	Metazoa	40
Opisthokonta	Metazoa	51
Opisthokonta	Metazoa	9
Opisthokonta	Metazoa	23
Opisthokonta	Metazoa	27
Opisthokonta	Metazoa	28
Sar	Alveolata	26
Sar	Alveolata	21
Sar	Alveolata	33
Amoebozoa	Evosea	35
Amoebozoa	Discosea	36
Opisthokonta	Choanoflagellata	30
Opisthokonta	Choanoflagellata	20
unclassified entries	unclassified sequences	22
unclassified entries	unclassified sequences	30
unclassified entries	unclassified sequences	23
unclassified entries	unclassified sequences	25
unclassified entries	unclassified sequences	33
Opisthokonta	Choanoflagellata	27
Opisthokonta	Choanoflagellata	32
Opisthokonta	Choanoflagellata	29
Opisthokonta	Choanoflagellata	26
Opisthokonta	Choanoflagellata	28
unclassified entries	unclassified sequences	23
Opisthokonta	Choanoflagellata	27
unclassified entries	unclassified sequences	24
unclassified entries	unclassified sequences	30
Opisthokonta	Choanoflagellata	27
unclassified entries	unclassified sequences	26
Opisthokonta	Choanoflagellata	26
Opisthokonta	Metazoa	22
Opisthokonta	Fungi	25
Opisthokonta	Metazoa	22
Sar	Alveolata	24
Sar	Alveolata	30
Sar	Alveolata	21
Sar	Alveolata	24
Sar	Alveolata	24
Sar	Alveolata	23
Sar	Alveolata	3
Sar	Alveolata	2
Sar	Alveolata	20
Discoba	Euglenozoa	29
Discoba	Euglenozoa	27
Discoba	Euglenozoa	21
Discoba	Euglenozoa	1
Discoba	Euglenozoa	32
Discoba	Euglenozoa	29
Discoba	Euglenozoa	25
Discoba	Euglenozoa	25
Discoba	Euglenozoa	26
Sar	Stramenopiles	31
Sar	Stramenopiles	21
Sar	Stramenopiles	24
Sar	Stramenopiles	36
Sar	Rhizaria	33
Discoba	Euglenozoa	35
Discoba	Euglenozoa	31
Discoba	Euglenozoa	29
Metamonada	Fornicata	14
Opisthokonta	Metazoa	27
Opisthokonta	Fungi	29
Opisthokonta	Fungi	20
Opisthokonta	Fungi	30
Opisthokonta	Fungi	27
Opisthokonta	Fungi	22
Opisthokonta	Fungi	4
Viridiplantae	Streptophyta	45
Viridiplantae	Chlorophyta	22
Viridiplantae	Chlorophyta	16
Viridiplantae	Chlorophyta	26
Viridiplantae	Chlorophyta	3
Opisthokonta	Fungi	10
Opisthokonta	Fungi	8
Opisthokonta	Fungi	7
Opisthokonta	Fungi	11
Opisthokonta	Fungi	12
Opisthokonta	Fungi	10
Opisthokonta	Fungi	11
Opisthokonta	Fungi	9
Opisthokonta	Fungi	18
Opisthokonta	Fungi	20
Opisthokonta	Fungi	21
Opisthokonta	Fungi	19
Opisthokonta	Fungi	21
Opisthokonta	Fungi	21
Opisthokonta	Fungi	22
Opisthokonta	Fungi	22
Opisthokonta	Fungi	22
Opisthokonta	Fungi	23
Opisthokonta	Fungi	23
Opisthokonta	Fungi	22
Opisthokonta	Fungi	23
Opisthokonta	Fungi	21
Opisthokonta	Fungi	21
Opisthokonta	Fungi	22
Opisthokonta	Fungi	21
Opisthokonta	Fungi	22
Opisthokonta	Fungi	21
Opisthokonta	Fungi	22
Opisthokonta	Fungi	22
Opisthokonta	Fungi	22
Opisthokonta	Fungi	22
Opisthokonta	Fungi	23
Opisthokonta	Fungi	21
Opisthokonta	Fungi	24
Opisthokonta	Fungi	23
