tracey_taxonomy_id,ncbi_taxonomy_id,species group,species subgroup,cohort,family,tribe,class,biotype,genotype,section,order,superorder,superphylum,pathogroup,subphylum,parvorder,subfamily,species,isolate,infraorder,subkingdom,forma,phylum,strain,superkingdom,suborder,kingdom,infraclass,superclass,superfamily,subtribe,subcohort,forma specialis,serogroup,subclass,varietas,series,genus,serotype,subgenus,subspecies
52,6605,-,-,-,-,-,Cephalopoda,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Mollusca,-,Eukaryota,-,Metazoa,-,-,-,-,-,-,-,-,-,-,-,-,-,-
53,6855,-,-,-,-,-,Arachnida,-,-,-,Scorpiones,-,-,-,Chelicerata,-,-,-,-,-,-,-,Arthropoda,-,Eukaryota,-,Metazoa,-,-,-,-,-,-,-,-,-,-,-,-,-,-
54,28009,-,-,-,-,-,Choanoflagellata,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Eukaryota,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
55,5752,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Heterolobosea,-,Eukaryota,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
56,6040,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Porifera,-,Eukaryota,-,Metazoa,-,-,-,-,-,-,-,-,-,-,-,-,-,-
57,33634,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Eukaryota,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
58,451459,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Blastocladiomycota,-,Eukaryota,-,Fungi,-,-,-,-,-,-,-,-,-,-,-,-,-,-
59,147554,-,-,-,-,-,Schizosaccharomycetes,-,-,-,-,-,-,-,Taphrinomycotina,-,-,-,-,-,Dikarya,-,Ascomycota,-,Eukaryota,-,Fungi,-,-,-,-,-,-,-,-,-,-,-,-,-,-
60,5719,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Parabasalia,-,Eukaryota,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
61,127916,-,-,-,-,-,Ichthyosporea,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Eukaryota,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
62,451507,-,-,-,-,-,-,-,-,-,-,-,-,-,Mucoromycotina,-,-,-,-,-,-,-,Mucoromycota,-,Eukaryota,-,Fungi,-,-,-,-,-,-,-,-,-,-,-,-,-,-
63,136087,-,-,-,Malawimonadidae,-,-,-,-,-,Malawimonadida,-,-,-,-,-,-,-,-,-,-,-,-,-,Eukaryota,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
64,8431,-,-,-,-,-,Amphibia,-,-,-,Anura,Batrachia,-,-,Craniata,-,-,-,-,-,-,-,Chordata,-,Eukaryota,-,Metazoa,-,Sarcopterygii,Pelobatoidea,-,-,-,-,-,-,-,-,-,-,-
65,33511,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Eukaryota,-,Metazoa,-,-,-,-,-,-,-,-,-,-,-,-,-,-
66,32644,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,unidentified,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
67,32644,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,unidentified,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
68,6656,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Arthropoda,-,Eukaryota,-,Metazoa,-,-,-,-,-,-,-,-,-,-,-,-,-,-
69,190556,-,-,-,Chordodidae,-,Gordioida,-,-,-,Chordodea,-,-,-,-,-,-,-,-,-,-,-,Nematomorpha,-,Eukaryota,-,Metazoa,-,-,Chordodoidea,-,-,-,-,-,-,-,Euchordodes,-,-,-
70,33213,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Eukaryota,-,Metazoa,-,-,-,-,-,-,-,-,-,-,-,-,-,-
71,10226,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Placozoa,-,Eukaryota,-,Metazoa,-,-,-,-,-,-,-,-,-,-,-,-,-,-
72,4761,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Chytridiomycota,-,Eukaryota,-,Fungi,-,-,-,-,-,-,-,-,-,-,-,-,-,-
73,452284,-,-,-,-,-,-,-,-,-,-,-,-,-,Ustilaginomycotina,-,-,-,-,-,Dikarya,-,Basidiomycota,-,Eukaryota,-,Fungi,-,-,-,-,-,-,-,-,-,-,-,-,-,-
74,29000,-,-,-,-,-,-,-,-,-,-,-,-,-,Pucciniomycotina,-,-,-,-,-,Dikarya,-,Basidiomycota,-,Eukaryota,-,Fungi,-,-,-,-,-,-,-,-,-,-,-,-,-,-
75,5302,-,-,-,-,-,-,-,-,-,-,-,-,-,Agaricomycotina,-,-,-,-,-,Dikarya,-,Basidiomycota,-,Eukaryota,-,Fungi,-,-,-,-,-,-,-,-,-,-,-,-,-,-
76,32644,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,unidentified,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
