Root	root
BrAb_2	Brucella abortus bv. 1
BrSu_2	Brucella suis
MeHu_1	Methanospirillum hungatei
MeBa_1	Methanosarcina barkeri
MeMa_2	Methanococcus maripaludis
SaRu_1	Salinibacter ruber
CaHy_1	Carboxydothermus hydrogenoformans
ShDe_1	Shewanella denitrificans
BuXe_1	Paraburkholderia xenovorans
Ja_1	Jannaschia
PsEn_1	Pseudomonas entomophila
SaEn_1	Salmonella enterica
AePe	Aeropyrum pernix
RaEu_2	Cupriavidus necator
IdLo_1	Idiomarina loihiensis
DeAr_1	Dechloromonas aromatica
AeHy	Aeromonas hydrophila
BaHa_1	Halalkalibacterium halodurans
NiWi_1	Nitrobacter winogradskyi
TrEr_1	Trichodesmium erythraeum
SaTy_1	Salmonella typhimurium
BdBa_1	Bdellovibrio bacteriovorus
LaCa_2	Lacticaseibacillus casei
NaPh_1	Natronomonas pharaonis
RhFe_1	Rhodoferax ferrireducens
ViPa_2	Vibrio parahaemolyticus
EmHu_1	Emiliania huxleyi
OrLa	Oryzias latipes
BrMa	Brugia malayi
CaJa	Caenorhabditis japonica
SaKo	Saccoglossus kowalevskii
LeEr	Leucoraja erinacea
StHi	Sterkiella histriomuscorum
DaPu	Daphnia pulex
MeTr	Medicago truncatula
PoTr	Populus trichocarpa
SpRo	Sporobolomyces roseus
PhBl	Phycomyces blakesleeanus
MoDo	Monodelphis domestica
PhPa_1	Physcomitrium patens
FuOx_2	Fusarium oxysporum
AsCl_1	Aspergillus clavatus
NeFi_1	Aspergillus fischeri
ScJp	Schizosaccharomyces japonicus
PrDo	Protopterus dolloi
LyPi	Lytechinus pictus
ScCa	Scyliorhinus canicula
MyGl	Myxine glutinosa
LaCh	Latimeria chalumnae
ChPe	Chaetopterus pergamentaceus
EqCa	Equus caballus
DrMi	Drosophila miranda
BrLa	Branchiostoma lanceolatum
MeGa	Meleagris gallopavo
SyRa	Sycon raphanus
IcPu	Ictalurus punctatus
WaSc	Watasenia scintillans
LoFo	Loligo forbesii
AsMi	Patiria miniata
CalVi	Calliphora vicina
MiMi	Misgurnus mizolepis
DiOm	Discopyge ommata
FeCa	Felis catus
GeCy	Geodia cydonium
EpFl	Ephydatia fluviatilis
MaSe	Manduca sexta
SuDo	Suberites domuncula
BrOl	Brassica oleracea
DrVi	Drosophila virilis
SoLy	Solanum lycopersicum
ErPi	Erysiphe pisi
ViRa	Vigna radiata
ToFo	Torenia fournieri
NiRu	Nicotiana rustica
LiDa	Lilium davidii
ViUn	Vigna unguiculata
ToGo_2	Toxoplasma gondii
DiSa	Digitaria sanguinalis
BrNa	Brassica napus
ZeMa	Zea mays
PeIn	Petunia integrifolia subsp. inflata
SpSt	Sporobolus stapfianus
PiSa	Pisum sativum
ThCae	Noccaea caerulescens
BaDe_2	Batrachochytrium dendrobatidis
LeBr_1	Leishmania braziliensis
LeIn_1	Leishmania infantum
PoPl	Postia placenta
VoCa_1	Volvox carteri
DrAn	Drosophila ananassae
SoIn	Solenopsis invicta
GrBi	Gryllus bimaculatus
PiPr	Pimephales promelas
PlDu	Platynereis dumerilii
AcAs	Acropora aspera
MyCal	Mytilus californianus
CaOw_2	Capsaspora owczarzaki
CuEl	Cunninghamella elegans
SaBi	Sargassum binderi
MwJa	Malawimonas jakobiformis
PyUm	Pythium ultimum
MeVi	Mesostigma viride
AqFo	Aquilegia formosa
MaBa	Mastigamoeba balamuthi
HoCa	Homalodisca vitripennis
MoFa	Orbicella faveolata
DrWi	Drosophila willistoni
LaKo	Laupala kohalensis
AlOv	Aleuroglyphus ovatus
EoLa	Eoxenos laboulbenei
RuRu	Rutilus rutilus
CyCa	Cyprinus carpio
MiAn	Misgurnus anguillicaudatus
SaSa	Salmo salar
PoRe	Poecilia reticulata
AmPa	Amoebidium parasiticum
OsMo	Osmerus mordax
FuHe	Fundulus heteroclitus
PlFl	Platichthys flesus
HiHi	Hippoglossus hippoglossus
GaMo	Gadus morhua
SqAc	Squalus acanthias
LoGi	Lottia gigantea
CaSp	Capitella sp. 1
GoRa	Gobiocypris rarus
CaPo	Cavia porcellus
CaJc	Callithrix jacchus
PlVi_1	Plasmodium vivax
PiGu_1	Meyerozyma guilliermondii
CoDi_1	Corynebacterium diphtheriae
AjCa_2	Histoplasma capsulatum
ViVi	Vitis vinifera
AlMe	Alkaliphilus metalliredigens
NaVi	Nasonia vitripennis
TaAs	Taenia asiatica
HeRo	Helobdella robusta
DiVi	Diabrotica virgifera virgifera
AmMe	Ambystoma mexicanum
HeBa	Heterorhabditis bacteriophora
TaSo	Taenia solium
OnNe	Oncorhynchus nerka
TrVp	Trichosurus vulpecula
OrPa	Ornithodoros parkeri
PhPt	Phlebotomus papatasi
AuAn_1	Aureococcus anophagefferens
TrAd	Trichoplax adhaerens
GaSu	Galdieria sulphuraria
MuAc	Musa acuminata
PlMa_1	Gimesia maris
