Root	root
ChaSp	Chlamydophila sp. 08-1274/3
StMob	Streptomyces mobaraensis
PuNy	Pundamilia nyererei
ViFl	Vibrio fluvialis
DeAk_1	Desulfurivibrio alkaliphilus
SuAr	Sulfolobales archaeon Acd1
NaNs	Candidatus Nanobsidianus stetteri
MycIn_1	Mycobacterium intracellulare subsp. intracellulare
GrHo_1	Grimontia hollisae
DeAl_1	Dethiobacter alkaliphilus
StGr_3	Streptomyces griseoflavus
PlSh	Plesiomonas shigelloides
PsDe_1	Pseudomonas sp. ATCC 13867
ThHa	Hydrogenovibrio halophilus
ThiSp_22	Thioalkalivibrio sp. ALgr3
ViNa	Vibrio natriegens
NaTu	Nafulsella turpanensis
AlLo	Aliivibrio logei
AeVe_5	Aeromonas veronii
AeMe_1	Aeromonas media
AeSa_2	Aeromonas salmonicida
ViPr	Vibrio proteolyticus
AcBac_49	Acinetobacter sp. NIPH 817
AcBac_51	Acinetobacter sp. NIPH 973
RhoSp_8	Rhodococcus sp. P14
PaMu_11	Pasteurella multocida
StEn	Streptococcus entericus
RhoMa	Rhodopirellula maiorica
AgSe_1	Aggregatibacter segnis
ViCo_1	Vibrio coralliilyticus
IdBa_1	Idiomarina baltica
ViRo_1	Vibrio rotiferianus
ThMo_1	Thioflavicoccus mobilis 8321
HaePar_1	Haemophilus paraphrohaemolyticus
AmJi	Amphibacillus jilinensis
GoSo	Gordonia soli
StInt_6	Streptococcus intermedius C270
StInt_5	Streptococcus intermedius B196
DesAc_1	Desulfobacca acetoxidans
SaSpi_1	Saccharopolyspora spinosa
DesPh	Desulfotignum phosphitoxidans
PaDg_1	Pasteurella dagmatis
PaBet_1	Pasteurella bettyae
HeMo_1	Heliomicrobium modesticaldum
PaPn	Rodentibacter pneumotropicus
StrCo_6	Streptococcus constellatus subsp. pharyngis C818
StrCo_4	Streptococcus constellatus subsp. pharyngis C1050
StAn_6	Streptococcus anginosus C1051
StAn_7	Streptococcus anginosus C238
PsDe	Pseudomonas denitrificans (nom. rej.)
LaKi_1	Lentilactobacillus kisonensis
MoDa	Moritella dasanensis
PseuSp_30	Pseudomonas sp. CF149
LaOt	Lentilactobacillus otakiensis
BuPr_1	Butyrivibrio proteoclasticus
ActCap	Actinobacillus capsulatus
ActSu_1	Actinobacillus suis
St_45	Streptomyces sp. SS
PseuSp_35	Pseudomonas sp. CFT9
PseuSp_32	Pseudomonas sp. CF161
PseuSp_31	Pseudomonas sp. CF150
PseuSp_34	Pseudomonas sp. CFII68
PseuSp_33	Pseudomonas sp. CFII64
AvPa	Avibacterium paragallinarum
HaPar_4	Haemophilus parainfluenzae
SaKe_1	Sanguibacter keddieii
HaDu_1	[Haemophilus] ducreyi
AgAp_3	Aggregatibacter aphrophilus
HaePa_1	Haemophilus parahaemolyticus
AcUre_1	Actinobacillus ureae
HaeHa_6	Haemophilus haemolyticus
IlPo_1	Ilyobacter polytropus
BaUn_4	Bacteroides uniformis
PaDi_1	Parabacteroides distasonis
ThPhP74	Oshimavirus P7426
ThPhP23	Oshimavirus P2345
BaThe_1	Bacteroides thetaiotaomicron
RuCh_1	Ruminococcus champanellensis
BuFi_1	Butyrivibrio fibrisolvens
CaGr_1	Campylobacter gracilis
CaUr	Campylobacter ureolyticus
PrMu_1	Prevotella multiformis
SeTe_1	Sebaldella termitidis
BeEl_2	Bartonella elizabethae
BaQu_2	Bartonella quintana
MegPe	Neomegalonema perideroedes
RiCa_2	Rickettsia canadensis
RiAu_1	Rickettsia australis
RiAk_1	Rickettsia akari
RiTy_3	Rickettsia typhi
ShAm_1	Shewanella amazonensis
PseAl	Pseudomonas alcaligenes
BaBa_1	Bartonella bacilliformis
SchPa	Schlesneria paludicola
AnCn_1	Anaplasma centrale
RiPr_8	Rickettsia prowazekii
RiCo_1	Rickettsia conorii
ZaFo	Zavarzinella formosa
DeSa_1	Maridesulfovibrio salexigens
BuPh_1	Paraburkholderia phymatum
StSom	Streptomyces somaliensis
EsCo_436	Escherichia coli APEC O78
AcGl	Actinoplanes globisporus
DeAce_1	Desulfuromonas acetoxidans
MeSp_1	Bradyrhizobium sp. WSM4349
BacHe_1	Bacteroides helcogenes
DesPr_1	Desulfobulbus propionicus
ChrPi	Chrysemys picta bellii
BiGa_1	Bifidobacterium gallicum
GeSu_2	Geobacter sulfurreducens
AcGe_1	Schaalia georgiae
DeAf_1	Desulfocurvibacter africanus
DeDes_3	Desulfovibrio desulfuricans
CorMa_1	Corynebacterium maris DSM 45190
DeFr_1	Solidesulfovibrio fructosivorans
DesGi	Megalodesulfovibrio gigas
LaBa_17	Lachnospiraceae bacterium 28-4
FuMo_1	Fusobacterium mortiferum
FuGo_1	Fusobacterium gonidiaformans
ExAn_1	Exiguobacterium antarcticum
FuNe_1	Fusobacterium necrophorum
RhJo_1	Rhodococcus jostii
SiAc_1	Singulisphaera acidiphila
FuVa_1	Fusobacterium varium
CaKr_1	Caldicellulosiruptor kristjanssonii
SyWo_1	Syntrophomonas wolfei
LaBa_21	Lachnospiraceae bacterium A4
BarAl_1	Bartonella alsatica
LaBa_20	Lachnospiraceae bacterium A2
FuUl_1	Fusobacterium ulcerans
CaLc_1	Caldicellulosiruptor lactoaceticus
FuPr_2	Fusobacterium periodonticum
LaBa_18	Lachnospiraceae bacterium 3-1
EnBa_2	Enterobacteriaceae bacterium LSJC7
PrRm_1	Xylanibacter ruminicola
TrVn_1	Treponema vincentii
PrLo	Hoylesella loescheii
WoSu_1	Wolinella succinogenes
PanSp_1	Pandoraea sp. B-6
DiMa	Rickettsiella massiliensis
SeSp_6	Selenomonas sputigena
PaSa	Paenibacillus sanguinis
WoPi_1	Wolbachia pipientis
RoBi_1	Robiginitalea biformata
BaTa_2	Bartonella tamiae
AnPh_1	Anaplasma phagocytophilum
NeRi_1	Neorickettsia risticii
PaMas	Paenibacillus massiliensis
NeSe_1	Neorickettsia sennetsu
PsePs	Pseudomonas psychrophila
EhCa_1	Ehrlichia canis
HyTh_1	Hydrogenobacter thermophilus
UnAc	unclassified Actinobacteria (miscellaneous)
NeWa_1	Neisseria wadsworthii
BuVi_1	Burkholderia vietnamiensis
BrPy	Burkholderia pyrrocinia
BuGr_1	Paraburkholderia graminis
OcGr_1	Oceanicola granulosus
ThiThi	Thiobacillus thioparus
AcThi_1	Acidithiobacillus thiooxidans
ThIn_1	Thiomonas intermedia
HaNe_1	Halothiobacillus neapolitanus
SphCh	Sphingobium chinhatense
AsEx_1	Asticcacaulis excentricus
StNv_1	Ancylobacter novellus
NeSh_1	Neisseria shayeganii
NiEut_1	Nitrosomonas eutropha
NiEu_1	Nitrosomonas europaea
MeEl_1	Megasphaera elsdenii
MegSp_4	Megasphaera
AcEn	Actinokineospora enzanensis
AcFr_1	Acidaminococcus fermentans
AcaMa	Acaryochloris marina
DePi_1	Desulfovibrio piger
DeBa_1	Desulfomicrobium baculatum
GrMa	Granulicella mallensis
GrTu_1	Granulicella tundricola
OlSp_1	Olsenella sp. oral taxon 809
AcBac_25	Acinetobacter sp. CIP 51.11
AcBac_26	Acinetobacter sp. CIP 53.82
CaGi_1	Capnocytophaga gingivalis
AcBac_22	Acinetobacter sp. CIP 102529
CaOc_1	Capnocytophaga ochracea
AcBac_23	Acinetobacter sp. CIP 102637
CapSp_1	Capnocytophaga sputigena
AcBac_21	Acinetobacter sp. CIP 102159
AcBac_19	Acinetobacter sp. CIP 102129
BeAl	Beggiatoa alba
AcBac_20	Acinetobacter sp. CIP 102136
AcBac_17	Acinetobacter sp. CIP 101966
SaGr_3	Saprospira grandis
AcBac_18	Acinetobacter sp. CIP 102082
EsCo_440	Escherichia coli PMV-1
AcBac_16	Acinetobacter sp. CIP 101934
WeVi_1	Weeksella virosa
BeZo_2	Bergeyella zoohelcum
ClCa_1	Clostridium carboxidivorans
BaAm_11	Bacillus velezensis UCMB5033
MaTr_1	Marivirga tractuosa
SoCan_1	Solitalea canadensis
FlCo_1	Flavobacterium columnare
FlLi_1	Bernardetia litoralis
FlmBa_1	Flavobacterium johnsoniae
PeHe_1	Pedobacter heparinus
CyHu_1	Cytophaga hutchinsonii
MaSa	Marinilabilia salmonicolor
CeLy_1	Cellulophaga lytica
SelRu_1	Selenomonas ruminantium
PsSp_3	Psychrobacter sp. G
AcPhZZ1	Acinetobacter phage ZZ1
AcSpi	Actinoalloteichus spitiensis
CalSp_2	Calothrix sp. PCC 6303
AcBac_28	Acinetobacter sp. CIP 64.7
StrCo_5	Streptococcus constellatus subsp. pharyngis C232
AcBac_27	Acinetobacter sp. CIP 56.2
AciIn	Acinetobacter indicus
DesSp_5	Desulfovibrio sp. X2
PeLu_1	Pelodictyon luteolum
PrAe_1	Prosthecochloris aestuarii
AcTu_1	Schaalia turicensis
ChLi_1	Chlorobium limicola
ChPh_4	Chlorobium phaeovibrioides
AkEh_1	Alkalilimnicola ehrlichii
OsVa_1	Oscillibacter valericigenes
ZyRa	Propionispira raffinosivorans
ClSp_15	Clostridium sp. ATCC BAA-442
NiWa_1	Nitrosococcus watsonii
MiAe_12	Microcystis aeruginosa
ChlFr	Chlorogloeopsis fritschii
Mc	Microcystis
OrOr	Orcinus orca
ConCa	Corynebacterium capitovis
Cl	Chlorogloeopsis
PaBa	Paenibacillus barengoltzii
NaGre_1	Natronobacterium gregoryi
SacCh	Salinimonas chungwhensis
AfCl	Afipia clevelandensis
AfFe	Afipia felis
DeuMe_1	Desulfosporosinus meridiei
MesAm_1	Mesorhizobium amorphae
MiMa_1	Microscilla marina
OcInt_1	Brucella intermedia
BoPet_1	Bordetella petrii
ThiNi_1	Thiothrix nivea
RhFr	Rhizobium freirei
AlVi_1	Allochromatium vinosum
ShVi_1	Shewanella violacea
EntRa	Enterococcus raffinosus
EnMa	Enterococcus malodoratus
HaHa_1	Halorhodospira halophila
SpXe	Sphingobium xenophagum
WiPs	Winogradskyella psychrotolerans
PseuSp_44	Pseudomonas sp. PAMC 26793
ClCi_1	Enterocloster citroniae
RhVa_1	Rhodomicrobium vannielii
HaSm	Halomonas smyrnensis
DesThe	Desulfurispora thermophila
PhMo_1	Magnetospirillum molischianum
PeFu	Magnetospirillum fulvum
CaKor	Catelliglobosispora koreensis
RhPh_1	Pararhodospirillum photometricum
HaHi_1	Haloarcula hispanica
PrHo	Prochlorothrix hollandica
NaOcc_1	Natronococcus occultus SP4
ProSp_6	Prochlorococcus
SalPa	Salinispora pacifica
EsCo_439	Escherichia coli O25b:H4-ST131
NiMu_1	Nitrosospira multiformis
PrAv_2	Cutibacterium avidum 44067
CanNi_3	Candidatus Nitrosopumilus salaria
PiGe	Pinus gerardiana
RiSp	Rivularia sp. PCC 7116
LeGe_2	Leuconostoc gelidum
PiNe	Pinus nelsonii
LeLac_1	Leuconostoc lactis
SpQu	Sphingobium quisquiliarum
LeuCa_1	Leuconostoc carnosum
LeFa_1	Leuconostoc fallax
WePa_1	Weissella paramesenteroides
PeAn_1	Peptostreptococcus anaerobius
MyTu_49	Mycobacterium tuberculosis CAS/NITR204
MyTu_52	Mycobacterium tuberculosis EAI5/NITR206
WaCh_2	Waddlia chondrophila
GeSp_4	Geobacillus sp. WSUCF1
AnMi	Aneura mirabilis
RuFl_1	Ruminococcus flavefaciens
BuPhy_1	Paraburkholderia phytofirmans
ShPi_1	Shewanella piezotolerans
KyFl_1	Kytococcus sedentarius
ClBa_2	Intestinibacter bartlettii
ThiSp_3	Thioalkalivibrio sp. AKL11
XaSp	Xanthomonas sp. SHU199
ChPi_1	Chitinophaga pinensis
OscSp_2	Oscillatoria
ThiSp_13	Thioalkalivibrio sp. ALE20
AnCy	Anabaena cylindrica
ThiSp_30	Thioalkalivibrio sp. ALJ24
TreAz	Trichormus azollae
AnVar_1	Anabaena variabilis
CoGlu_6	Corynebacterium glutamicum MB001
HeWi_1	Helicobacter winghamensis
AmyNi	Amycolatopsis nigrescens
OchPr	Ochotona princeps
MetySp	Methylobacter sp. UW 659-2-H10
RhcSp	Rhodocyclus sp. UW 659-1-F08
CaDiOP11	Microgenomates bacterium UW 659-4-B07
RhoSp_9	Rhodococcus sp. P27
OpCa	Ophioglossum californicum
RiHe_1	Rickettsia conorii subsp. heilongjiangensis
VeMa_1	Micromonospora maris
ViPh12B8	Vibrio phage henriette 12B8
DeHy	Desulforamulus hydrothermalis
MaAl_1	Marinobacter algicola
CeAn	Cesiribacter andamanensis
OcKi	Oceanobacillus kimchii
Po	Candidatus Poribacteria
WiGl_2	Wigglesworthia glossinidia
SuYe_1	Sulfurihydrogenibium yellowstonense
LaRa_1	Lactococcus raffinolactis
BuRh_1	Mycetohabitans rhizoxinica
LacGa_4	Lactococcus garvieae
PepSp_3	Peptoniphilus senegalensis JC140
PaSp_9	Paenibacillus senegalensis JC66
KuSp_1	Kurthia senegalensis
EnSu	Enterococcus sulfureus
KuAu	Kushneria aurantia
EntHi_1	Enterococcus hirae
AggSp	Aggregatibacter sp. oral taxon 458
KuSp	Kurthia massiliensis
EnCo	Enterococcus columbae
BrbSp_1	Brevibacterium senegalense
VirAl	Vibrio albensis
EsAl_1	Escherichia albertii
ClSp_98	Clostridium senegalense JC122
TheAr_1	Thermoplasmatales archaeon Gpl
StrPa_2	Streptococcus parauberis
FeSp	Ferroplasma sp. Type II
DehSp_3	Dehalobacter sp. E1
StIni_1	Streptococcus iniae
AtSp_1	Atopobium sp. oral taxon 199
AliSp_9	Alistipes timonensis JC136
StVit	Mammaliicoccus vitulinus
AtSp_2	Atopobium sp. oral taxon 810
StFe	Streptococcus ferus
BaCoa_3	Heyndrickxia coagulans
NoCo	Nonomuraea coxensis
BrBr_1	Brevibacillus brevis
AneAn	Aneurinibacillus aneurinilyticus
AtPa_1	Lancefieldella parvula
AtRi_1	Lancefieldella rimae
AeUr_1	Aerococcus urinae
SylBar_1	Sulfurospirillum barnesii
AeVi_1	Aerococcus viridans
GeHa_1	Gemella haemolysans
StSan_22	Streptococcus sanguinis
StSa_5	Streptococcus salivarius
StSo	Streptococcus sobrinus
DeRa_1	Deinococcus radiodurans
StOr_9	Streptococcus oralis
RaBo_1	Raphidiopsis brookii
StGo_1	Streptococcus gordonii
StHo_1	Staphylococcus hominis
StXy	Staphylococcus xylosus
StWa_2	Staphylococcus warneri
BaciSp	Bacteriovorax sp. BSW11_IV
StHa_1	Staphylococcus haemolyticus
BaciSp_2	Bacteriovorax sp. DB6_IX
HaPra	Haloferax prahovense
StCar_1	Staphylococcus carnosus
StSim	Staphylococcus simulans
StaIn	Staphylococcus intermedius
CyGr	Cyanobium gracile
StrMa_1	Streptococcus macacae
StInt_4	Streptococcus intermedius
LeWa	Leptotrichia wadei
StRat_1	Streptococcus ratti
StPo_1	Streptococcus porcinus
StVe_2	Streptococcus vestibularis
ThSu	Thioalkalivibrio sulfidiphilus
StrCani_1	Streptococcus canis
LeGo_2	Pseudoleptotrichia goodfellowii
StAn_5	Streptococcus anginosus
RhWr	Rhodococcus wratislaviensis
PaPh	Pannonibacter phragmitetus
StrCr_1	Streptococcus criceti
LeHo_1	Leptotrichia hofstadii
StrEq_1	Streptococcus equinus
StDy_7	Streptococcus dysgalactiae
LepSh	Leptotrichia shahii
MaAd_1	Marinobacter adhaerens
ActSp172	Actinomyces sp. oral taxon 172
ActSp175_1	Actinomyces sp. oral taxon 175
RhGr	Rhizobium grahamii
BlHa_1	Blautia hansenii
ActSp170_1	Actinomyces sp. oral taxon 170
ActSp448_1	Actinomyces sp. oral taxon 448
MaSu_1	[Mannheimia] succiniciproducens
StDo_1	Streptococcus downei
StAg_17	Streptococcus agalactiae ILRI005
StPa_7	Streptococcus parasanguinis
StAg_16	Streptococcus agalactiae 09mas018883
ActSp181	Actinomyces sp. oral taxon 181
ClCe_1	Clostridium cellulovorans
CoGlu_7	Corynebacterium glutamicum SCgG1
ClBi	Paraclostridium bifermentans
CaKi_3	Candidatus Kinetoplastibacterium crithidii (ex Angomonas deanei ATCC 30255)
CrPhCR3	Cronobacter phage CR3
CoGlu_8	Corynebacterium glutamicum SCgG2
OcDe	Octodon degus
LaPl_9	Lactiplantibacillus plantarum ZJ316
MyLi_1	Mycobacterium liflandii
CloPa	Clostridium pasteurianum
PrePa_1	Prevotella pallens
BaSm_1	Bacillus smithii
CaAc_1	Catenulispora acidiphila
CaJe_69	Campylobacter jejuni 32488
JaJa	Jaculus jaculus
ViPa_11	Vibrio parahaemolyticus O1:Kuk str. FDA_R31
VirHa	Virgibacillus halodenitrificans
ViPa_10	Vibrio parahaemolyticus O1:K33 str. CDC_K4557
MoTh_1	Moorella thermoacetica
ClBe_1	Clostridium beijerinckii
ClCel_1	Ruminiclostridium cellulolyticum
ClIno	[Clostridium] innocuum
BruLa	Burkholderia lata
MacNi	Massilia niastensis
ClLe_1	[Clostridium] leptum
AlSt	Allobaculum stercoricanis
ClClo_1	Enterocloster clostridioformis
AciBac	Acidobacteriaceae bacterium KBS 96
SalCo	Salinivibrio costicola
ClSpo_2	Clostridium sporogenes
AciBac_1	Acidobacteriaceae bacterium KBS 89
AciBac_2	Acidobacteriaceae bacterium KBS 83
MyYe	Mycoplasma yeatsii
ClSt_1	Acetoanaerobium sticklandii
ClSte	Thermoclostridium stercorarium
SpiSp_1	Sphingobacterium sp. IITKGP-BTPF85
MoAu	Metamycoplasma auris
ClSo	Paraclostridium sordellii
SuKu_1	Sulfuricurvum kujiense
ClSp_14	Clostridium sp. ATCC 29733
ThermTh_1	Thermoanaerobacterium thermosaccharolyticum
MypSp_5	Mycoplasma feriruminatoris
ThThe	Thermoanaerobacter thermohydrosulfuricus
ClTy	Clostridium tyrobutyricum
ClTe_1	Clostridium tetani
ClSy_2	[Clostridium] symbiosum
GeTh_3	Parageobacillus thermoglucosidasius
ThPo_1	Thermincola potens
PhLe_1	Photobacterium leiognathi
KiRa_1	Kineococcus radiotolerans
BaCu_1	Evansella cellulosilytica
GlAg	Paraglaciecola agarilytica
DyFe_1	Dyadobacter fermentans
LySph_1	Lysinibacillus sphaericus
GeKa_1	Geobacillus kaustophilus
ThiAr	Thiomicrorhabdus arctica
BreLa_2	Brevibacillus laterosporus
ChTa	Chryseobacterium taeanense
BacMe_2	Bacillus methanolicus
InAl_1	Indibacter alkaliphilus
BaAl_1	Alkalihalobacillus alcalophilus
AmXy_1	Amphibacillus xylanus
AlAc_4	Alicyclobacillus acidoterrestris
BaAt_2	Bacillus atrophaeus
SphSp_10	Sphingomonas sp. PR090111-T3T-6A
BaAz	Schinkia azotoformans
ClGl	Terrisporobacter glycolicus
LiIn_4	Listeria innocua
OsSy_1	Osedax symbiont Rs2
LiWe_1	Listeria welshimeri
PopSp	Porphyromonas sp. oral taxon 278
LiSe_3	Listeria seeligeri
PopSp_1	Porphyromonas sp. oral taxon 279
LiGr_1	Listeria grayi
CloIn	Clostridium intestinale
ReSa_1	Renibacterium salmoninarum
ThAr	Litoreibacter arenae
OsSy	Osedax symbiont Rs1
MyCan_2	Mycobacterium canettii CIPT 140060008
LaOr_2	Limosilactobacillus oris
MyCan_5	Mycobacterium canettii CIPT 140070017
CloCe	Clostridium celatum
LaVa_1	Limosilactobacillus vaginalis
MyCan_4	Mycobacterium canettii CIPT 140070010
LiIv_1	Listeria ivanovii
MyCan_3	Mycobacterium canettii CIPT 140070008
AcVi_1	Actinomyces viscosus
ThDe_1	Thiobacillus denitrificans
ThCa_1	Thermosinus carboxydivorans
CaTh_1	Caldalkalibacillus thermarum
ErRh_3	Erysipelothrix rhusiopathiae
PepSp_4	Peptoniphilus sp. oral taxon 375
AcNa_1	Actinomyces naeslundii
OsNi_1	Oscillatoria nigro-viridis
ThiSp_19	Thioalkalivibrio sp. ALE6
De	Desulfitobacterium
ThiSp_43	Thioalkalivibrio sp. ALRh
DeuDe_1	Desulfitobacterium dehalogenans
MeiSi_1	Allomeiothermus silvanus
BrCa_2	Brucella canis
AlOt	Alloiococcus otitis
AlBo_1	Alcanivorax borkumensis
ThiSp_42	Thioalkalivibrio sp. ALMg9
LaSu_3	Loigolactobacillus coryniformis
ThiSp_47	Thioalkalivibrio sp. HL-Eb18
CoBo_1	Corynebacterium bovis
LaFa_1	Companilactobacillus farciminis
MyRh_2	Mycolicibacterium rhodesiae
EmOl_1	Emticicia oligotrophica
BruBr	Paraburkholderia bryophila
LaFr_1	Fructilactobacillus fructivorans
FlIn_1	Flavobacterium indicum
NeSp_3	Neisseria sp. oral taxon 020
OrSp_16	Oribacterium sp. oral taxon 108
BoRe_1	Borrelia recurrentis
MePs	Methanolobus psychrophilus
MiLa_1	Microbacterium laevaniformans
LaAmy	Lactobacillus amylovorus
LacAn_1	Ligilactobacillus animalis
LacSan	Fructilactobacillus sanfranciscensis
FrFr_1	Fructobacillus fructosus
GiCh	Gilvimarinus chinensis
LePe	Neolewinella persica
AmyAz	Amycolatopsis azurea
LaMal_1	Liquorilactobacillus mali
LeCo	Lewinella cohaerens
NaAmy	Natronococcus amylolyticus
GoRu_1	Gordonia rubripertincta
GoSp_1	Gordonia sputi
HaoSp_5	Halomonas huangheensis
CloPa_1	Clostridium pasteurianum BC1
FlDo	Flexithrix dorotheae
GoAi	Gordonia aichiensis
LaRu_3	Ligilactobacillus ruminis
GoAm_1	Gordonia amarae
LacMu	Ligilactobacillus murinus
PoPa_1	Plesiocystis pacifica
ThNa_1	Thermodesulfobium narugense
WeCo_1	Weissella confusa
LABu_1	Lentilactobacillus buchneri
ShPhShfl2	Shigella phage Shfl2
CoAk_1	Coraliomargarita akajimensis
LeXy_1	Leifsonia xyli
FrTu_19	Francisella tularensis subsp. holarctica F92
MiOc	Microtus ochrogaster
HalHa_1	Halobacillus halophilus
MicrSp_2	Microbacterium sp. oral taxon 186
St_46	Streptomyces sp. TOR3209
LaPa_3	Lacticaseibacillus paracasei
CorCi	Corynebacterium ciconiae
ChFl_1	Chthoniobacter flavus
CaAm_1	Candidatus Amoebophilus asiaticus
LepiSp_2	Leptotrichia sp. oral taxon 215
NiIn_1	Nitratireductor indicus
AcPs_11	Acetobacter pasteurianus 386B
LaPe_1	Lactiplantibacillus pentosus
LaHi_1	Lentilactobacillus hilgardii
CloSpo	Faecalispora sporosphaeroides
MaAu_1	Mahella australiensis
ClSac	Clostridium saccharoperbutylacetonicum
ClRa_1	Thomasclavelia ramosa
ColSp_3	[Collinsella] massiliensis
ClNo_1	Clostridium novyi
PeEn_1	Apopellia endiviifolia
VibBr	Vibrio breoganii
KlVa_1	Klebsiella variicola
HaSal	Halococcus salifodinae
DiIn_1	Dialister invisus
HaCa	Haloarcula californiae
BukPh_1	Paraburkholderia phenoliruptrix
DeNi_1	Desulfotomaculum nigrificans
DeRu_1	Desulforamulus ruminis
CoBa_2	Enorma timonensis
DeuOr_1	Desulfosporosinus orientis
CloAc_1	Gottschalkia acidurici
AePhAes508	Aeromonas phage Aes508
AePhAes012	Aeromonas phage Aes012
PaCu_1	Paenibacillus curdlanolyticus
SaDe_1	Saccharophagus degradans
AciVe	Acinetobacter venetianus
MyInt_1	Mycobacterium intracellulare
HaAr_1	halophilic archaeon J07HX64
MyFo_1	Mycolicibacterium fortuitum
MyPhe_1	Mycolicibacterium phlei
DiTu_1	Dictyoglomus turgidum
PaSp_5	Paenibacillus sp. A9
CaCa_1	Candidatus Carsonella ruddii
MyMa_1	Mycobacterium marinum
BrMi_1	Brucella microti
EcTe	Echinops telfairi
ShLo_1	Shewanella loihica
FuSp_17	Fusobacterium sp. oral taxon 370
MyXe_1	Mycobacterium xenopi
SmNi	Smaragdicoccus niigatensis
EuBi_1	Holdemanella biformis
RoCa_1	Roseiflexus castenholzii
EuLi_1	Eubacterium limosum
PrFr_3	Propionibacterium freudenreichii
BraPi_4	Brachyspira pilosicoli P43/6/78
HaPa_3	Glaesserella parasuis ZJ0906
FicAl	Ficedula albicollis
ProAc	Acidipropionibacterium acidipropionici
PrPro_1	Arachnia propionica
PaePe_1	Paenibacillus peoriae
NaAe	Natrialba aegyptia
PseuSp_29	Pseudomonas sp. CBZ-4
ThEt_3	Thermoanaerobacter ethanolicus
MePe_1	Methylibium petroleiphilum
BrLi_1	Brevibacterium linens
UnRoSp	Candidatus Sulfuricurvum sp. RIFRC-1
CorAm_1	Corynebacterium ammoniagenes
CeFl_1	Cellulomonas flavigena
CaFim_1	Cellulomonas fimi
CoPsu_15	Corynebacterium pseudotuberculosis
BaCy	Bacillus cytotoxicus
NiHal_1	Nitritalea halalkaliphila
StUr_1	Streptococcus urinalis
DePie_1	Pseudodesulfovibrio piezophilus C1TLV30
CoVa_1	Corynebacterium variabile
ClCl_1	Acetivibrio clariflavus
HalJe	Vreelandella jeotgali
SpEch_1	Sphingomonas echinoides
CoyCa	Corynebacterium callunae
AlAg_1	Alishewanella agri
PanDi	Pantoea dispersa
CaSp412	Capnocytophaga sp. oral taxon 412
CaSp380	Capnocytophaga sp. oral taxon 380
CaSp336	Capnocytophaga sp. oral taxon 336
ArGl_1	Arthrobacter globiformis
CaSp324	Capnocytophaga sp. oral taxon 324
MeMo_1	Methylotenera mobilis
CaSp335	Capnocytophaga sp. oral taxon 335
CaSp332	Capnocytophaga sp. oral taxon 332
CaSp326	Capnocytophaga sp. oral taxon 326
BiAs	Bifidobacterium asteroides
BiBr_4	Bifidobacterium breve
BiCa_1	Bifidobacterium catenulatum
SpUm	Sphingobium ummariense
MaHa_9	Mannheimia haemolytica USDA-ARS-USMARC-183
BiAn_1	Bifidobacterium angulatum
MaHa_10	Mannheimia haemolytica USDA-ARS-USMARC-185
PsPu_13	Pseudomonas putida HB3267
PlHa	Planococcus halocryophilus
PrMi_5	Proteus mirabilis BB2000
NaIn	Natronolimnohabitans innermongolicus
StHy_3	Streptomyces hygroscopicus
StLiv_1	Streptomyces lividans
PsPl	Pseudomonas plecoglossicida
MeFi	Methylosarcina fibrata
StGl	Streptomyces globisporus
StGr_4	Streptomyces griseus
PsGe	Stenotrophomonas geniculata
StCl_1	Streptomyces clavuligerus
StAl_3	Streptomyces albus
CurLa	Curvibacter lanceolatus
TeSa	Terriglobus saanensis
SyLi_1	Syntrophothermus lipocalidus
MeNo_1	Methylobacterium nodulans
ActSc	Actinotignum schaalii
ArMa_1	Limnospira maxima
ActMi	Actinoplanes missouriensis
CrMa	Cronobacter malonaticus
CoWo_1	Conexibacter woesei
CrDu	Cronobacter dublinensis
FrAl_1	Frankia alni
GeOb_1	Geodermatophilus obscurus
BraOl	Bradyrhizobium oligotrophicum
SaVi_1	Saccharomonospora viridis
CupSp_1	Cupriavidus sp. HMR-1
PaAlv_1	Paenibacillus alvei
StrOr	Streptococcus orisratti
SaBo_2	Salmonella bongori N268-08
ActHa	Actinopolyspora halophila
StSp_29	Streptococcus sp. oral taxon 058
StSp_28	Streptococcus sp. oral taxon 056
SaEr_1	Saccharopolyspora erythraea
CaMy_3	Candidatus Mycoplasma haematominutum
StSp_30	Streptococcus sp. oral taxon 071
RhRho	Rhodococcus rhodochrous
ArBa_8	Arthrobacter sp. M2012083
RhoRu	Rhodococcus ruber
NoAs	Nocardia asteroides
EtHa_1	Ethanoligenens harbinense
GoGoGo	Gorilla gorilla gorilla
StrAur_1	Streptomyces auratus
BuTh_5	Burkholderia thailandensis MSMB121
AmMd_4	Amycolatopsis methanolica
Am	Amycolatopsis
FlTa_1	Fluviicola taffensis
OwHo_1	Owenweeksia hongkongensis
MycVa_1	Mycolicibacterium vaccae
StrZi_1	Streptomyces zinciresistens
MyUl_1	Mycobacterium ulcerans
MyGil_1	Mycolicibacterium gilvum
MyChu_1	Mycolicibacterium chubuense
SeMa_1	Serratia marcescens FGI94
KaKo_1	Kangiella koreensis
MyThe_1	Mycolicibacterium thermoresistibile
KaAq	Kangiella aquimarina
DePie	Pseudodesulfovibrio piezophilus
MiTe_1	Microbacterium testaceum
LimSp_1	Limnohabitans sp. Rim47
CeAl_1	Cellulophaga algicola
