ncbi_id,tracey_id,species group,species subgroup,cohort,family,tribe,class,biotype,genotype,section,order,superorder,superphylum,pathogroup,subphylum,parvorder,subfamily,species,isolate,infraorder,subkingdom,forma,phylum,strain,superkingdom,suborder,kingdom,infraclass,superclass,superfamily,subtribe,subcohort,forma specialis,serogroup,subclass,varietas,series,genus,serotype,subgenus,subspecies
1265648,17713,-,-,-,Enterobacteriaceae,-,Gammaproteobacteria,-,-,-,Enterobacterales,-,-,-,-,-,-,Salmonella enterica,-,-,-,-,Pseudomonadota,Salmonella enterica subsp. enterica serovar Agona str. 42.E.09,-,-,Pseudomonadati,-,-,-,-,-,-,-,-,-,-,Salmonella,-,-,Salmonella enterica subsp. enterica
1331266,17714,-,-,-,Alcaligenaceae,-,Betaproteobacteria,-,-,-,Burkholderiales,-,-,-,-,-,-,Bordetella pertussis,-,-,-,-,Pseudomonadota,Bordetella pertussis H921,-,-,Pseudomonadati,-,-,-,-,-,-,-,-,-,-,Bordetella,-,-,-
1412615,17715,-,-,-,Enterobacteriaceae,-,Gammaproteobacteria,-,-,-,Enterobacterales,-,-,-,-,-,-,Salmonella enterica,-,-,-,-,Pseudomonadota,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120925,-,-,Pseudomonadati,-,-,-,-,-,-,-,-,-,-,Salmonella,-,-,Salmonella enterica subsp. enterica
1265649,17716,-,-,-,Enterobacteriaceae,-,Gammaproteobacteria,-,-,-,Enterobacterales,-,-,-,-,-,-,Salmonella enterica,-,-,-,-,Pseudomonadota,Salmonella enterica subsp. enterica serovar Agona str. 16.H.08,-,-,Pseudomonadati,-,-,-,-,-,-,-,-,-,-,Salmonella,-,-,Salmonella enterica subsp. enterica
1331267,17717,-,-,-,Alcaligenaceae,-,Betaproteobacteria,-,-,-,Burkholderiales,-,-,-,-,-,-,Bordetella pertussis,-,-,-,-,Pseudomonadota,Bordetella pertussis H939,-,-,Pseudomonadati,-,-,-,-,-,-,-,-,-,-,Bordetella,-,-,-
1412612,17718,-,-,-,Enterobacteriaceae,-,Gammaproteobacteria,-,-,-,Enterobacterales,-,-,-,-,-,-,Salmonella enterica,-,-,-,-,Pseudomonadota,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120774,-,-,Pseudomonadati,-,-,-,-,-,-,-,-,-,-,Salmonella,-,-,Salmonella enterica subsp. enterica
1265650,17719,-,-,-,Enterobacteriaceae,-,Gammaproteobacteria,-,-,-,Enterobacterales,-,-,-,-,-,-,Salmonella enterica,-,-,-,-,Pseudomonadota,Salmonella enterica subsp. enterica serovar Agona str. 21.H.10,-,-,Pseudomonadati,-,-,-,-,-,-,-,-,-,-,Salmonella,-,-,Salmonella enterica subsp. enterica
1331264,17720,-,-,-,Alcaligenaceae,-,Betaproteobacteria,-,-,-,Burkholderiales,-,-,-,-,-,-,Bordetella pertussis,-,-,-,-,Pseudomonadota,Bordetella pertussis H897,-,-,Pseudomonadati,-,-,-,-,-,-,-,-,-,-,Bordetella,-,-,-
1412613,17721,-,-,-,Enterobacteriaceae,-,Gammaproteobacteria,-,-,-,Enterobacterales,-,-,-,-,-,-,Salmonella enterica,-,-,-,-,Pseudomonadota,Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120917,-,-,Pseudomonadati,-,-,-,-,-,-,-,-,-,-,Salmonella,-,-,Salmonella enterica subsp. enterica
1005466,17722,-,-,-,Enterobacteriaceae,-,Gammaproteobacteria,-,-,-,Enterobacterales,-,-,-,-,-,-,Escherichia coli,-,-,-,-,Pseudomonadota,Escherichia coli 10.0833,-,-,Pseudomonadati,-,-,-,-,-,-,-,-,-,-,Escherichia,-,-,-
